name,environment,unique,alt_sort,short_desc,long_desc,sources
Aboleth,"aquatic, coast",,Aboleth,,,"Monster Manual: 13, Princes of the Apocalypse Online Supplement v1.0: 6, SRD 5.1: 261"
Abominable Beauty,,,Abominable Beauty,,,Tome of Beasts: 11
Accursed Defiler,,,Accursed Defiler,,,Tome of Beasts: 12
Acolyte,"arctic, desert, dungeon, forest, grassland, mountain, swamp, underground, urban",,Acolyte,"**Acolytes** are junior members of a clergy, usually answerable to a priest. They perform a variety of functions in a temple and are granted minor spellcasting power by their deities.",,"Basic Rules v1: 53, HotDQ supplement: 4, Monster Manual: 342, SRD 5.1: 395"
Adult Black Dragon,swamp,,Dragon Chromatic Black 2Adult,,,"Monster Manual: 88, Princes of the Apocalypse Online Supplement v1.0: 7, SRD 5.1: 281"
Adult Blue Dragon,desert,,Dragon Chromatic Blue 2Adult,,,"HotDQ supplement: 4, Monster Manual: 91, SRD 5.1: 283"
Adult Brass Dragon,"cave, underground",,Dragon Metallic Brass 2Adult,,,"Monster Manual: 105, SRD 5.1: 291"
Adult Bronze Dragon,coast,,Dragon Metallic Bronze 2Adult,,,"Monster Manual: 108, Princes of the Apocalypse Online Supplement v1.0: 7, SRD 5.1: 294"
Adult Cave Dragon,,,Dragon Other Cave 2Adult,,,Tome of Beasts: 125
Adult Copper Dragon,"cave, desert, grassland",,Dragon Metallic Copper 2Adult,,,"Monster Manual: 112, SRD 5.1: 296"
Adult Flame Dragon,,,Dragon Other Flame 2Adult,,,Tome of Beasts: 129
Adult Gold Dragon,"mountain, ruins",,Dragon Metallic Gold 2Adult,,,"Monster Manual: 114, SRD 5.1: 299"
Adult Green Dragon,forest,,Dragon Chromatic Green 2Adult,,,"Monster Manual: 94, SRD 5.1: 285"
Adult Mithral Dragon,,,Dragon Other Mithral 2Adult,,,Tome of Beasts: 133
Adult Red Dragon,mountain,,Dragon Chromatic Red 2Adult,,,"Basic Rules v1: 8, Monster Manual: 98, SRD 5.1: 287"
Adult Rime Worm,,,Rime Worm Adult,,,Tome of Beasts: 327
Adult Sea Dragon,,,Dragon Other Sea 2Adult,,,Tome of Beasts: 135
Adult Silver Dragon,"arctic, mountain",,Dragon Metallic Silver 2Adult,,,"Monster Manual: 117, SRD 5.1: 302"
Adult Void Dragon,,,Dragon Other Void 2Adult,,,Tome of Beasts: 139
Adult White Dragon,"arctic, cave, underground",,Dragon Chromatic White 2Adult,,,"HotDQ supplement: 5, Monster Manual: 101, SRD 5.1: 289"
Adult Wind Dragon,,,Dragon Other Wind 2Adult,,,Tome of Beasts: 143
Air Elemental,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground",,Elemental Air,,,"Basic Rules v1: 9, HotDQ supplement: 5, Monster Manual: 124, SRD 5.1: 305"
"Akyishigal, Demon Lord of Cockroaches",,unique,Demon 1Lord Akyishigal,,,Tome of Beasts: 82
Al-Aeshma Genie,,,Genie Al-Aeshma,,,Tome of Beasts: 211
Ala,,,Ala,,,Tome of Beasts: 13
Alehouse Drake,,,Drake Alehouse,,,Tome of Beasts: 148
Algorith,,,Algorith,,,Tome of Beasts: 14
"Alquam, Demon Lord of Night",,unique,Demon 1Lord Alquam,,,Tome of Beasts: 84
Alseid,,,Alseid,,,Tome of Beasts: 15
Alseid Grovekeeper,,,Alseid Grovekeeper,,,Tome of Beasts: 15
Amphiptere,,,Amphiptere,,,Tome of Beasts: 16
Ancient Black Dragon,swamp,,Dragon Chromatic Black 1Ancient,,,"Monster Manual: 87, SRD 5.1: 280"
Ancient Blue Dragon,desert,,Dragon Chromatic Blue 1Ancient,,,"Monster Manual: 90, SRD 5.1: 282"
Ancient Brass Dragon,"cave, underground",,Dragon Metallic Brass 1Ancient,,,"Monster Manual: 104, SRD 5.1: 290"
Ancient Bronze Dragon,coast,,Dragon Metallic Bronze 1Ancient,,,"Monster Manual: 107, SRD 5.1: 293"
Ancient Copper Dragon,"cave, desert, grassland",,Dragon Metallic Copper 1Ancient,,,"Monster Manual: 110, SRD 5.1: 295"
Ancient Flame Dragon,,,Dragon Other Flame 1Ancient,,,Tome of Beasts: 128
Ancient Gold Dragon,"mountain, ruins",,Dragon Metallic Gold 1Ancient,,,"Monster Manual: 113, SRD 5.1: 298"
Ancient Green Dragon,forest,,Dragon Chromatic Green 1Ancient,,,"Monster Manual: 93, SRD 5.1: 284"
Ancient Mithral Dragon,,,Dragon Other Mithral 1Ancient,,,Tome of Beasts: 132
Ancient Red Dragon,mountain,,Dragon Chromatic Red 1Ancient,,,"Monster Manual: 97, SRD 5.1: 286"
Ancient Sea Dragon,,,Dragon Other Sea 1Ancient,,,Tome of Beasts: 135
Ancient Silver Dragon,"arctic, mountain",,Dragon Metallic Silver 1Ancient,,,"Monster Manual: 116, SRD 5.1: 301"
